date,province,new_cases,new_deaths,new_recoveries,new_hospitalizations,total_cases,total_deaths,total_recoveries,total_hospitalizations
2020-03-12,DKI Jakarta,2,1,4,-3,10,4,5,1
2020-03-13,DKI Jakarta,4,1,3,0,14,7,6,1
2020-03-14,DKI Jakarta,2,1,1,0,16,8,7,1
2020-03-15,DKI Jakarta,8,3,0,5,24,8,10,6
2020-03-16,DKI Jakarta,2,3,0,-1,26,8,13,5
2020-03-17,DKI Jakarta,2,1,0,1,28,8,14,6
2020-03-18,DKI Jakarta,1,1,0,0,29,8,15,6
2020-03-19,DKI Jakarta,2,0,1,1,31,9,15,7
2020-03-20,DKI Jakarta,5,3,1,1,36,10,18,8
2020-03-21,DKI Jakarta,8,3,6,-1,44,16,21,7
2020-03-22,DKI Jakarta,2,0,3,-1,46,19,21,6
2020-03-23,DKI Jakarta,0,0,0,0,46,19,21,6
2020-03-24,DKI Jakarta,16,19,3,-6,62,22,40,0
2020-03-25,DKI Jakarta,1,1,0,0,63,22,41,0
2020-03-26,DKI Jakarta,57,2,0,55,120,22,43,55
2020-03-27,DKI Jakarta,74,7,6,61,194,28,50,116
2020-03-28,DKI Jakarta,48,9,9,30,242,37,59,146
2020-03-29,DKI Jakarta,52,10,0,42,294,37,69,188
2020-03-30,DKI Jakarta,33,7,0,26,327,37,76,214
2020-03-31,DKI Jakarta,44,10,0,34,371,37,86,248
2020-04-01,DKI Jakarta,59,1,0,58,430,37,87,306
2020-04-02,DKI Jakarta,70,5,2,63,500,39,92,369
2020-04-03,DKI Jakarta,71,6,2,63,571,41,98,432
2020-04-04,DKI Jakarta,57,8,5,44,628,46,106,476
2020-04-05,DKI Jakarta,87,11,2,74,715,48,117,550
2020-04-06,DKI Jakarta,103,7,7,89,818,55,124,639
2020-04-07,DKI Jakarta,113,14,3,96,931,58,138,735
2020-04-08,DKI Jakarta,90,8,5,77,1021,63,146,812
2020-04-09,DKI Jakarta,228,34,5,189,1249,68,180,1001
2020-04-10,DKI Jakarta,53,11,4,38,1302,72,191,1039
2020-04-11,DKI Jakarta,190,10,7,173,1492,79,201,1212
2020-04-12,DKI Jakarta,156,33,37,86,1648,116,234,1298
2020-04-13,DKI Jakarta,135,7,1,127,1783,117,241,1425
2020-04-14,DKI Jakarta,122,10,0,112,1905,117,251,1537
2020-04-15,DKI Jakarta,143,9,20,114,2048,137,260,1651
2020-04-16,DKI Jakarta,174,1,0,173,2222,137,261,1824
2020-04-17,DKI Jakarta,170,7,35,128,2392,172,268,1952
2020-04-18,DKI Jakarta,101,7,1,93,2493,173,275,2045
2020-04-19,DKI Jakarta,113,3,25,85,2606,198,278,2130
2020-04-20,DKI Jakarta,74,5,7,62,2680,205,283,2192
2020-04-21,DKI Jakarta,183,2,59,122,2863,264,285,2314
2020-04-22,DKI Jakarta,110,1,8,101,2973,272,286,2415
2020-04-23,DKI Jakarta,122,0,4,118,3095,276,286,2533
2020-04-24,DKI Jakarta,78,0,1,77,3173,277,286,2610
2020-04-25,DKI Jakarta,78,19,7,52,3251,284,305,2662
2020-04-26,DKI Jakarta,104,7,1,96,3355,285,312,2758
2020-04-27,DKI Jakarta,66,13,1,52,3421,286,325,2810
2020-04-28,DKI Jakarta,124,4,22,98,3545,308,329,2908
2020-04-29,DKI Jakarta,110,0,75,35,3655,383,329,2943
2020-04-30,DKI Jakarta,106,0,46,60,3761,429,329,3003
2020-05-01,DKI Jakarta,135,4,2,129,3896,431,333,3132
2020-05-02,DKI Jakarta,92,17,24,51,3988,455,350,3183
2020-05-03,DKI Jakarta,129,5,112,12,4117,567,355,3195
2020-05-04,DKI Jakarta,80,8,3,69,4197,570,363,3264
2020-05-05,DKI Jakarta,132,1,66,65,4329,636,364,3329
2020-05-06,DKI Jakarta,106,5,37,64,4435,673,369,3393
2020-05-07,DKI Jakarta,82,8,4,70,4517,677,377,3463
2020-05-08,DKI Jakarta,96,1,0,95,4613,677,378,3558
2020-05-09,DKI Jakarta,98,3,5,90,4711,682,381,3648
2020-05-10,DKI Jakarta,125,6,49,70,4836,731,387,3718
2020-05-11,DKI Jakarta,81,6,9,66,4917,740,393,3784
2020-05-12,DKI Jakarta,96,2,108,-14,5013,848,395,3770
2020-05-13,DKI Jakarta,180,6,96,78,5193,944,401,3848
2020-05-14,DKI Jakarta,135,2,134,-1,5328,1078,403,3847
2020-05-15,DKI Jakarta,86,7,106,-27,5414,1184,410,3820
2020-05-16,DKI Jakarta,101,0,18,83,5515,1202,410,3903
2020-05-17,DKI Jakarta,127,3,11,113,5642,1213,413,4016
2020-05-18,DKI Jakarta,79,0,0,79,5721,1213,413,4095
2020-05-19,DKI Jakarta,94,7,21,66,5815,1234,420,4161
2020-05-20,DKI Jakarta,84,1,3,80,5899,1237,421,4241
2020-05-21,DKI Jakarta,70,8,130,-68,5969,1367,429,4173
2020-05-22,DKI Jakarta,106,29,55,22,6075,1422,458,4195
2020-05-23,DKI Jakarta,111,1,54,56,6186,1476,459,4251
2020-05-24,DKI Jakarta,112,0,20,92,6298,1496,459,4343
2020-05-25,DKI Jakarta,76,0,65,11,6374,1561,459,4354
2020-05-26,DKI Jakarta,87,0,13,74,6461,1574,459,4428
2020-05-27,DKI Jakarta,109,8,16,85,6570,1590,467,4513
2020-05-28,DKI Jakarta,100,0,20,80,6670,1610,467,4593
2020-05-29,DKI Jakarta,125,0,38,87,6795,1648,467,4680
2020-05-30,DKI Jakarta,108,7,255,-154,6903,1903,474,4526
2020-05-31,DKI Jakarta,113,1,70,42,7016,1973,475,4568
2020-06-01,DKI Jakarta,157,2,185,-30,7173,2158,477,4538
2020-06-02,DKI Jakarta,59,0,120,-61,7232,2278,477,4477
2020-06-03,DKI Jakarta,91,5,181,-95,7323,2459,482,4382
2020-06-04,DKI Jakarta,109,0,21,88,7432,2480,482,4470
2020-06-05,DKI Jakarta,70,1,138,-69,7502,2618,483,4401
2020-06-06,DKI Jakarta,117,0,86,31,7619,2704,483,4432
2020-06-07,DKI Jakarta,168,4,287,-123,7787,2991,487,4309
2020-06-08,DKI Jakarta,90,0,75,15,7877,3066,487,4324
2020-06-09,DKI Jakarta,239,4,163,72,8116,3229,491,4396
2020-06-10,DKI Jakarta,166,2,141,23,8282,3370,493,4419
2020-06-11,DKI Jakarta,131,1,147,-17,8413,3517,494,4402
2020-06-12,DKI Jakarta,92,4,118,-30,8505,3635,498,4372
2020-06-13,DKI Jakarta,121,8,58,55,8626,3693,506,4427
2020-06-14,DKI Jakarta,118,9,246,-137,8744,3939,515,4290
2020-06-15,DKI Jakarta,141,2,111,28,8885,4050,517,4318
2020-06-16,DKI Jakarta,97,0,132,-35,8982,4182,517,4283
2020-06-17,DKI Jakarta,122,5,115,2,9104,4297,522,4285
2020-06-18,DKI Jakarta,171,30,130,11,9275,4427,552,4296
2020-06-19,DKI Jakarta,133,1,126,6,9408,4553,553,4302
2020-06-20,DKI Jakarta,189,8,123,58,9597,4676,561,4360
2020-06-21,DKI Jakarta,141,1,234,-94,9738,4910,562,4266
2020-06-22,DKI Jakarta,123,0,75,48,9861,4985,562,4314
2020-06-23,DKI Jakarta,160,8,109,43,10021,5094,570,4357
2020-06-24,DKI Jakarta,152,8,97,47,10173,5191,578,4404
2020-06-25,DKI Jakarta,181,9,220,-48,10354,5411,587,4356
2020-06-26,DKI Jakarta,197,4,0,193,10551,5411,591,4549
2020-06-27,DKI Jakarta,192,8,68,116,10743,5479,599,4665
2020-06-28,DKI Jakarta,132,1,255,-124,10875,5734,600,4541
2020-06-29,DKI Jakarta,122,0,252,-130,10997,5986,600,4411
2020-06-30,DKI Jakarta,182,8,394,-220,11179,6380,608,4191
2020-07-01,DKI Jakarta,215,0,168,47,11394,6548,608,4238
2020-07-02,DKI Jakarta,200,6,192,2,11594,6740,614,4240
2020-07-03,DKI Jakarta,140,5,240,-105,11734,6980,619,4135
2020-07-04,DKI Jakarta,218,0,268,-50,11952,7248,619,4085
2020-07-05,DKI Jakarta,255,5,286,-36,12207,7534,624,4049
2020-07-06,DKI Jakarta,221,0,374,-153,12428,7908,624,3896
2020-07-07,DKI Jakarta,193,12,242,-61,12621,8150,636,3835
2020-07-08,DKI Jakarta,350,6,147,197,12971,8297,642,4032
2020-07-09,DKI Jakarta,277,6,223,48,13248,8520,648,4080
2020-07-10,DKI Jakarta,252,0,180,72,13500,8700,648,4152
2020-07-11,DKI Jakarta,383,10,215,158,13883,8915,658,4310
2020-07-12,DKI Jakarta,395,10,159,226,14278,9074,668,4536
2020-07-13,DKI Jakarta,281,7,208,66,14559,9282,675,4602
2020-07-14,DKI Jakarta,266,4,120,142,14825,9402,679,4744
2020-07-15,DKI Jakarta,251,5,197,49,15076,9599,684,4793
2020-07-16,DKI Jakarta,309,8,135,166,15385,9734,692,4959
2020-07-17,DKI Jakarta,257,6,139,112,15642,9873,698,5071
2020-07-18,DKI Jakarta,339,8,121,210,15981,9994,706,5281
2020-07-19,DKI Jakarta,319,9,327,-17,16300,10321,715,5264
2020-07-20,DKI Jakarta,381,9,155,217,16681,10476,724,5481
2020-07-21,DKI Jakarta,432,8,266,158,17113,10742,732,5639
2020-07-22,DKI Jakarta,387,5,367,15,17500,11109,737,5654
2020-07-23,DKI Jakarta,462,2,168,292,17962,11277,739,5946
2020-07-24,DKI Jakarta,293,4,270,19,18255,11547,743,5965
2020-07-25,DKI Jakarta,369,0,175,194,18624,11722,743,6159
2020-07-26,DKI Jakarta,384,4,161,219,19008,11883,747,6378
2020-07-27,DKI Jakarta,501,10,112,379,19509,11995,757,6757
2020-07-28,DKI Jakarta,409,16,374,19,19918,12369,773,6776
2020-07-29,DKI Jakarta,617,14,250,353,20535,12619,787,7129
2020-07-30,DKI Jakarta,397,19,188,190,20932,12807,806,7319
2020-07-31,DKI Jakarta,430,14,405,11,21362,13212,820,7330
2020-08-01,DKI Jakarta,368,12,680,-324,21730,13892,832,7006
2020-08-02,DKI Jakarta,377,0,141,236,22107,14033,832,7242
2020-08-03,DKI Jakarta,472,16,134,322,22579,14167,848,7564
2020-08-04,DKI Jakarta,410,14,224,172,22989,14391,862,7736
2020-08-05,DKI Jakarta,354,14,379,-39,23343,14770,876,7697
2020-08-06,DKI Jakarta,556,13,248,295,23899,15018,889,7992
2020-08-07,DKI Jakarta,665,12,196,457,24564,15214,901,8449
2020-08-08,DKI Jakarta,686,11,509,166,25250,15723,912,8615
2020-08-09,DKI Jakarta,440,6,560,-126,25690,16283,918,8489
2020-08-10,DKI Jakarta,433,2,179,252,26123,16462,920,8741
2020-08-11,DKI Jakarta,462,12,184,266,26585,16646,932,9007
2020-08-12,DKI Jakarta,529,15,822,-308,27114,17468,947,8699
2020-08-13,DKI Jakarta,608,11,400,197,27722,17868,958,8896
2020-08-14,DKI Jakarta,538,4,694,-160,28260,18562,962,8736
2020-08-15,DKI Jakarta,583,6,527,50,28843,19089,968,8786
2020-08-16,DKI Jakarta,518,1,654,-137,29361,19743,969,8649
2020-08-17,DKI Jakarta,552,14,209,329,29913,19952,983,8978
2020-08-18,DKI Jakarta,513,19,589,-95,30426,20541,1002,8883
2020-08-19,DKI Jakarta,551,18,570,-37,30977,21111,1020,8846
2020-08-20,DKI Jakarta,594,16,729,-151,31571,21840,1036,8695
2020-08-21,DKI Jakarta,657,16,435,206,32228,22275,1052,8901
2020-08-22,DKI Jakarta,588,17,653,-82,32816,22928,1069,8819
2020-08-23,DKI Jakarta,614,17,693,-96,33430,23621,1086,8723
2020-08-24,DKI Jakarta,633,16,1901,-1284,34063,25522,1102,7439
2020-08-25,DKI Jakarta,638,15,526,97,34701,26048,1117,7536
2020-08-26,DKI Jakarta,713,7,764,-58,35414,26812,1124,7478
2020-08-27,DKI Jakarta,760,11,1539,-790,36174,28351,1135,6688
2020-08-28,DKI Jakarta,869,10,880,-21,37043,29231,1145,6667
2020-08-29,DKI Jakarta,861,18,600,243,37904,29831,1163,6910
2020-08-30,DKI Jakarta,1094,9,368,717,38998,30199,1172,7627
2020-08-31,DKI Jakarta,1049,14,402,633,40047,30601,1186,8260
2020-09-01,DKI Jakarta,901,17,737,147,40948,31338,1203,8407
2020-09-02,DKI Jakarta,1054,17,479,558,42002,31817,1220,8965
2020-09-03,DKI Jakarta,1359,15,702,642,43361,32519,1235,9607
2020-09-04,DKI Jakarta,880,6,823,51,44241,33342,1241,9658
2020-09-05,DKI Jakarta,877,14,731,132,45118,34073,1255,9790
2020-09-06,DKI Jakarta,1176,10,805,361,46294,34878,1265,10151
2020-09-07,DKI Jakarta,1046,22,662,362,47340,35540,1287,10513
2020-09-08,DKI Jakarta,1014,21,931,62,48354,36471,1308,10575
2020-09-09,DKI Jakarta,1004,17,844,143,49358,37315,1325,10718
2020-09-10,DKI Jakarta,1274,17,1008,249,50632,38323,1342,10967
2020-09-11,DKI Jakarta,964,17,904,43,51596,39227,1359,11010
2020-09-12,DKI Jakarta,1205,18,665,522,52801,39892,1377,11532
2020-09-13,DKI Jakarta,1380,5,957,418,54181,40849,1382,11950
2020-09-14,DKI Jakarta,879,27,1511,-659,55060,42360,1409,11291
2020-09-15,DKI Jakarta,1076,33,982,61,56136,43342,1442,11352
2020-09-16,DKI Jakarta,1294,31,1146,117,57430,44488,1473,11469
2020-09-17,DKI Jakarta,1113,14,748,351,58543,45236,1487,11820
2020-09-18,DKI Jakarta,1258,22,1036,200,59801,46272,1509,12020
2020-09-19,DKI Jakarta,988,10,1032,-54,60789,47304,1519,11966
2020-09-20,DKI Jakarta,1138,14,1069,55,61927,48373,1533,12021
2020-09-21,DKI Jakarta,1352,29,1294,29,63279,49667,1562,12050
2020-09-22,DKI Jakarta,1236,30,849,357,64515,50516,1592,12407
2020-09-23,DKI Jakarta,1135,28,1105,2,65650,51621,1620,12409
2020-09-24,DKI Jakarta,1044,20,1162,-138,66694,52783,1640,12271
2020-09-25,DKI Jakarta,1171,13,1626,-468,67865,54409,1653,11803
2020-09-26,DKI Jakarta,1323,12,764,547,69188,55173,1665,12350
2020-09-27,DKI Jakarta,1217,13,1294,-90,70405,56467,1678,12260
2020-09-28,DKI Jakarta,898,9,1331,-442,71303,57798,1687,11818
2020-09-29,DKI Jakarta,1238,21,1121,96,72541,58919,1708,11914
2020-09-30,DKI Jakarta,1159,13,1452,-306,73700,60371,1721,11608
2020-10-01,DKI Jakarta,1253,6,1118,129,74953,61489,1727,11737
2020-10-02,DKI Jakarta,1198,3,675,520,76151,62164,1730,12257
2020-10-03,DKI Jakarta,1265,4,1190,71,77416,63354,1734,12328
2020-10-04,DKI Jakarta,1398,13,1031,354,78814,64385,1747,12682
2020-10-05,DKI Jakarta,1022,16,980,26,79836,65365,1763,12708
2020-10-06,DKI Jakarta,1106,31,1016,59,80942,66381,1794,12767
2020-10-07,DKI Jakarta,1211,15,987,209,82153,67368,1809,12976
2020-10-08,DKI Jakarta,1182,17,1047,118,83335,68415,1826,13094
2020-10-09,DKI Jakarta,943,21,849,73,84278,69264,1847,13167
2020-10-10,DKI Jakarta,1259,16,1284,-41,85537,70548,1863,13126
2020-10-11,DKI Jakarta,1389,18,1062,309,86926,71610,1881,13435
2020-10-12,DKI Jakarta,1211,25,1113,73,88137,72723,1906,13508
2020-10-13,DKI Jakarta,1054,19,1101,-66,89191,73824,1925,13442
2020-10-14,DKI Jakarta,1038,17,1203,-182,90229,75027,1942,13260
2020-10-15,DKI Jakarta,1072,20,1050,2,91301,76077,1962,13262
2020-10-16,DKI Jakarta,1045,24,982,39,92346,77059,1986,13301
2020-10-17,DKI Jakarta,974,23,1108,-157,93320,78167,2009,13144
2020-10-18,DKI Jakarta,971,17,1080,-126,94291,79247,2026,13018
2020-10-19,DKI Jakarta,926,14,1128,-216,95217,80375,2040,12802
2020-10-20,DKI Jakarta,964,22,837,105,96181,81212,2062,12907
2020-10-21,DKI Jakarta,1000,21,1073,-94,97181,82285,2083,12813
2020-10-22,DKI Jakarta,989,16,1157,-184,98170,83442,2099,12629
2020-10-23,DKI Jakarta,952,21,1093,-162,99122,84535,2120,12467
2020-10-24,DKI Jakarta,1062,20,1157,-115,100184,85692,2140,12352
2020-10-25,DKI Jakarta,771,18,1231,-478,100955,86923,2158,11874
2020-10-26,DKI Jakarta,906,13,1185,-292,101861,88108,2171,11582
2020-10-27,DKI Jakarta,781,11,1130,-360,102642,89238,2182,11222
2020-10-28,DKI Jakarta,844,17,1060,-233,103486,90298,2199,10989
2020-10-29,DKI Jakarta,713,14,1084,-385,104199,91382,2213,10604
2020-10-30,DKI Jakarta,612,14,1081,-483,104811,92463,2227,10121
2020-10-31,DKI Jakarta,750,19,1047,-316,105561,93510,2246,9805
2020-11-01,DKI Jakarta,608,19,1474,-885,106169,94984,2265,8920
2020-11-02,DKI Jakarta,1024,18,1058,-52,107193,96042,2283,8868
2020-11-03,DKI Jakarta,617,10,1025,-418,107810,97067,2293,8450
2020-11-04,DKI Jakarta,768,14,940,-186,108578,98007,2307,8264
2020-11-05,DKI Jakarta,797,15,974,-192,109375,98981,2322,8072
2020-11-06,DKI Jakarta,672,18,1028,-374,110047,100009,2340,7698
2020-11-07,DKI Jakarta,1118,11,987,120,111165,100996,2351,7818
2020-11-08,DKI Jakarta,826,8,984,-166,111991,101980,2359,7652
2020-11-09,DKI Jakarta,716,12,1131,-427,112707,103111,2371,7225
2020-11-10,DKI Jakarta,1013,13,1257,-257,113720,104368,2384,6968
2020-11-11,DKI Jakarta,587,13,959,-385,114307,105327,2397,6583
2020-11-12,DKI Jakarta,831,11,1072,-252,115138,106399,2408,6331
2020-11-13,DKI Jakarta,1033,10,13,1010,116171,106412,2418,7341
2020-11-14,DKI Jakarta,1255,5,11,1239,117426,106423,2423,8580
2020-11-15,DKI Jakarta,1164,2,23,1139,118590,106446,2425,9719
2020-11-16,DKI Jakarta,1006,2,867,137,119596,107313,2427,9856
2020-11-17,DKI Jakarta,1037,36,825,176,120633,108138,2463,10032
2020-11-18,DKI Jakarta,1148,11,2193,-1056,121781,110331,2474,8976
2020-11-19,DKI Jakarta,1186,14,2671,-1499,122967,113002,2488,7477
2020-11-20,DKI Jakarta,1240,0,569,671,124207,113571,2488,8148
2020-11-21,DKI Jakarta,1579,15,1085,479,125786,114656,2503,8627
2020-11-22,DKI Jakarta,1342,16,1070,256,127128,115726,2519,8883
2020-11-23,DKI Jakarta,1009,3,1052,-46,128137,116778,2522,8837
2020-11-24,DKI Jakarta,1015,19,1089,-93,129152,117867,2541,8744
2020-11-25,DKI Jakarta,1273,17,1090,166,130425,118957,2558,8910
2020-11-26,DKI Jakarta,1064,14,1134,-84,131489,120091,2572,8826
2020-11-27,DKI Jakarta,1436,15,838,583,132925,120929,2587,9409
2020-11-28,DKI Jakarta,1370,15,1232,123,134295,122161,2602,9532
2020-11-29,DKI Jakarta,1431,19,820,592,135726,122981,2621,10124
2020-11-30,DKI Jakarta,1099,25,910,164,136825,123891,2646,10288
2020-12-01,DKI Jakarta,1058,23,1042,-7,137883,124933,2669,10281
2020-12-02,DKI Jakarta,1166,23,1063,80,139049,125996,2692,10361
2020-12-03,DKI Jakarta,1153,34,1073,46,140202,127069,2726,10407
2020-12-04,DKI Jakarta,1032,23,928,81,141234,127997,2749,10488
2020-12-05,DKI Jakarta,1360,23,1031,306,142594,129028,2772,10794
2020-12-06,DKI Jakarta,1331,23,1040,268,143925,130068,2795,11062
2020-12-07,DKI Jakarta,1466,24,944,498,145391,131012,2819,11560
2020-12-08,DKI Jakarta,1194,21,1203,-30,146585,132215,2840,11530
2020-12-09,DKI Jakarta,1217,18,1073,126,147802,133288,2858,11656
2020-12-10,DKI Jakarta,1180,18,1046,116,148982,134334,2876,11772
2020-12-11,DKI Jakarta,1232,4,1096,132,150214,135430,2880,11904
2020-12-12,DKI Jakarta,951,17,923,11,151165,136353,2897,11915
2020-12-13,DKI Jakarta,1298,16,1112,170,152463,137465,2913,12085
2020-12-14,DKI Jakarta,1506,17,1471,18,153969,138936,2930,12103
2020-12-15,DKI Jakarta,1116,22,1136,-42,155085,140072,2952,12061
2020-12-16,DKI Jakarta,1221,22,1142,57,156306,141214,2974,12118
2020-12-17,DKI Jakarta,1690,20,1372,298,157996,142586,2994,12416
2020-12-18,DKI Jakarta,1587,19,1234,334,159583,143820,3013,12750
2020-12-19,DKI Jakarta,1899,20,1097,782,161482,144917,3033,13532
2020-12-20,DKI Jakarta,1592,19,1874,-301,163074,146791,3052,13231
2020-12-21,DKI Jakarta,1466,15,1368,83,164540,148159,3067,13314
2020-12-22,DKI Jakarta,1311,14,1374,-77,165851,149533,3081,13237
2020-12-23,DKI Jakarta,1954,15,1444,495,167805,150977,3096,13732
2020-12-24,DKI Jakarta,1933,16,1341,576,169738,152318,3112,14308
2020-12-25,DKI Jakarta,2096,21,1727,348,171834,154045,3133,14656
2020-12-26,DKI Jakarta,2058,14,2552,-508,173892,156597,3147,14148
2020-12-27,DKI Jakarta,1997,22,1824,151,175889,158421,3169,14299
2020-12-28,DKI Jakarta,1678,21,1713,-56,177567,160134,3190,14243
2020-12-29,DKI Jakarta,2056,18,1002,1036,179623,161136,3208,15279
2020-12-30,DKI Jakarta,2053,21,1567,465,181676,162703,3229,15744
2020-12-31,DKI Jakarta,2022,21,1968,33,183698,164671,3250,15777
2021-01-01,DKI Jakarta,1956,20,1643,293,185654,166314,3270,16070
2021-01-02,DKI Jakarta,1894,26,2280,-412,187548,168594,3296,15658
2021-01-03,DKI Jakarta,1658,10,1691,-43,189206,170285,3306,15615
2021-01-04,DKI Jakarta,1832,21,2527,-716,191038,172812,3327,14899
2021-01-05,DKI Jakarta,1824,19,1339,466,192862,174151,3346,15365
2021-01-06,DKI Jakarta,2402,16,1095,1291,195264,175246,3362,16656
2021-01-07,DKI Jakarta,2398,21,1446,931,197662,176692,3383,17587
2021-01-08,DKI Jakarta,2959,24,2690,245,200621,179382,3407,17832
2021-01-09,DKI Jakarta,2753,27,2118,608,203374,181500,3434,18440
2021-01-10,DKI Jakarta,2711,31,2898,-218,206085,184398,3465,18222
2021-01-11,DKI Jakarta,2461,31,2510,-80,208546,186908,3496,18142
2021-01-12,DKI Jakarta,2669,34,1657,978,211215,188565,3530,19120
2021-01-13,DKI Jakarta,3476,45,2952,479,214691,191517,3575,19599
2021-01-14,DKI Jakarta,3165,43,2075,1047,217856,193592,3618,20646
2021-01-15,DKI Jakarta,2541,35,2490,16,220397,196082,3653,20662
2021-01-16,DKI Jakarta,3536,32,1772,1732,223933,197854,3685,22394
2021-01-17,DKI Jakarta,3395,33,3776,-414,227328,201630,3718,21980
2021-01-18,DKI Jakarta,2361,36,2801,-476,229689,204431,3754,21504
2021-01-19,DKI Jakarta,2563,40,2500,23,232252,206931,3794,21527
2021-01-20,DKI Jakarta,3786,33,3770,-17,236038,210701,3827,21510
2021-01-21,DKI Jakarta,3151,30,2570,551,239189,213271,3857,22061
2021-01-22,DKI Jakarta,3791,41,2169,1581,242980,215440,3898,23642
2021-01-23,DKI Jakarta,3285,31,3492,-238,246265,218932,3929,23404
2021-01-24,DKI Jakarta,3512,39,2328,1145,249777,221260,3968,24549
2021-01-25,DKI Jakarta,2451,43,2504,-96,252228,223764,4011,24453
2021-01-26,DKI Jakarta,2313,46,2939,-672,254541,226703,4057,23781
2021-01-27,DKI Jakarta,1836,34,2970,-1168,256377,229673,4091,22613
2021-01-28,DKI Jakarta,2889,40,2731,118,259266,232404,4131,22731
2021-01-29,DKI Jakarta,3448,44,2428,976,262714,234832,4175,23707
2021-01-30,DKI Jakarta,3491,30,3565,-104,266205,238397,4205,23603
2021-01-31,DKI Jakarta,3474,42,3355,77,269679,241752,4247,23680
2021-02-01,DKI Jakarta,3614,45,2352,1217,273293,244104,4292,24897
2021-02-02,DKI Jakarta,3362,44,4577,-1259,276655,248681,4336,23638
2021-02-03,DKI Jakarta,3567,44,1391,2132,280222,250072,4380,25770
2021-02-04,DKI Jakarta,3632,40,3963,-371,283854,254035,4420,25399
2021-02-05,DKI Jakarta,3340,45,2475,820,287194,256510,4465,26219
2021-02-06,DKI Jakarta,2379,44,4434,-2099,289573,260944,4509,24120
2021-02-07,DKI Jakarta,4212,45,4305,-138,293785,265249,4554,23982
2021-02-08,DKI Jakarta,3142,43,3417,-318,296927,268666,4597,23664
2021-02-09,DKI Jakarta,3437,57,2786,594,300364,271452,4654,24258
2021-02-10,DKI Jakarta,3308,43,3245,20,303672,274697,4697,24278
2021-02-11,DKI Jakarta,2513,51,4097,-1635,306185,278794,4748,22643
2021-02-12,DKI Jakarta,3807,50,5636,-1879,309992,284430,4798,20764
2021-02-13,DKI Jakarta,3017,53,5010,-2046,313009,289440,4851,18718
2021-02-14,DKI Jakarta,2497,48,3977,-1528,315506,293417,4899,17190
2021-02-15,DKI Jakarta,1879,42,2081,-244,317385,295498,4941,16946
2021-02-16,DKI Jakarta,1861,62,1580,219,319246,297078,5003,17165
2021-02-17,DKI Jakarta,1446,31,2591,-1176,320692,299669,5034,15989
2021-02-18,DKI Jakarta,373,35,2717,-2379,321065,302386,5069,13610
2021-02-19,DKI Jakarta,1920,6,2758,-844,322985,305144,5075,12766
2021-02-20,DKI Jakarta,2872,40,2490,342,325857,307634,5115,13108
2021-02-21,DKI Jakarta,2725,55,2681,-11,328582,310315,5170,13097
2021-02-22,DKI Jakarta,2466,40,2305,121,331048,312620,5210,13218
2021-02-23,DKI Jakarta,782,45,2052,-1315,331830,314672,5255,11903
2021-02-24,DKI Jakarta,782,35,1857,-1110,332612,316529,5290,10793
2021-02-25,DKI Jakarta,1581,56,2656,-1131,334193,319185,5346,9662
2021-02-26,DKI Jakarta,1662,42,1864,-244,335855,321049,5388,9418
2021-02-27,DKI Jakarta,1736,44,1163,529,337591,322212,5432,9947
2021-02-28,DKI Jakarta,2098,43,891,1164,339689,323103,5475,11111
2021-03-01,DKI Jakarta,2058,52,3134,-1128,341747,326237,5527,9983
2021-03-02,DKI Jakarta,577,36,2165,-1624,342324,328402,5563,8359
2021-03-03,DKI Jakarta,1437,38,2487,-1088,343761,330889,5601,7271
2021-03-04,DKI Jakarta,2009,46,1750,213,345770,332639,5647,7484
2021-03-05,DKI Jakarta,1160,45,1290,-175,346930,333929,5692,7309
2021-03-06,DKI Jakarta,1615,44,1568,3,348545,335497,5736,7312
2021-03-07,DKI Jakarta,1835,45,1765,25,350380,337262,5781,7337
2021-03-08,DKI Jakarta,1783,48,1675,60,352163,338937,5829,7397
2021-03-09,DKI Jakarta,867,45,1643,-821,353030,340580,5874,6576
2021-03-10,DKI Jakarta,1046,45,1477,-476,354076,342057,5919,6100
2021-03-11,DKI Jakarta,1754,25,980,749,355830,343037,5944,6849
2021-03-12,DKI Jakarta,1872,50,1263,559,357702,344300,5994,7408
